location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Ghana,GHA,3/1/2021,0,0,,,,,0,0,,,,,
Ghana,GHA,3/2/2021,,,,,,28893,,,,,863,28893,0.086
Ghana,GHA,3/3/2021,,,,,,28893,,,,,863,28893,0.086
Ghana,GHA,3/4/2021,,,,,,28893,,,,,863,28893,0.086
Ghana,GHA,3/5/2021,,,,,,28893,,,,,863,28893,0.086
Ghana,GHA,3/6/2021,,,,,,28893,,,,,863,28893,0.086
Ghana,GHA,3/7/2021,,,,,,28893,,,,,863,28893,0.086
Ghana,GHA,3/8/2021,202252,202252,,,,28893,0.6,0.6,,,863,28893,0.086
Ghana,GHA,3/9/2021,,,,,,31748,,,,,948,31748,0.095
Ghana,GHA,3/10/2021,300000,300000,,,,34602,0.9,0.9,,,1034,34602,0.103
Ghana,GHA,3/11/2021,,,,,,32617,,,,,974,32617,0.097
Ghana,GHA,3/12/2021,,,,,,30632,,,,,915,30632,0.092
Ghana,GHA,3/13/2021,,,,,,28648,,,,,856,28648,0.086
Ghana,GHA,3/14/2021,,,,,,26663,,,,,796,26663,0.08
Ghana,GHA,3/15/2021,,,,,,24678,,,,,737,24678,0.074
Ghana,GHA,3/16/2021,,,,,,19839,,,,,593,19839,0.059
Ghana,GHA,3/17/2021,,,,,,15000,,,,,448,15000,0.045
Ghana,GHA,3/18/2021,420000,420000,,,,15000,1.25,1.25,,,448,15000,0.045
Ghana,GHA,3/19/2021,,,,,,14762,,,,,441,14762,0.044
Ghana,GHA,3/20/2021,,,,,,14524,,,,,434,14524,0.043
Ghana,GHA,3/21/2021,,,,,,14286,,,,,427,14286,0.043
Ghana,GHA,3/22/2021,,,,,,14048,,,,,420,14048,0.042
Ghana,GHA,3/23/2021,,,,,,13810,,,,,413,13810,0.041
